spend,icac_mean,icac_lo95,icac_hi95,ltv_mean
200111.22978260875,306.4127823153778,249.77829201203554,438.60889365823283,135918.3656981504
201137.44121739134,306.4490971689363,249.81166292169556,439.4425650458301,136599.19526072918
202163.65265217394,306.4700069348803,249.84520270720301,440.2120253877913,137286.7628522393
203189.86408695657,306.5680362968092,249.88155652758758,441.00121554236466,137939.5290934898
204216.07552173917,306.6889597300717,249.91780876954235,442.11547896272253,138581.52782460622
205242.28695652177,306.98161244432754,249.95117781861788,443.2923063716636,139145.14074844806
206268.4983913044,307.19586819476183,249.98471228069587,444.4733215312353,139743.33328267327
207294.709826087,307.3383715091845,250.01841212824303,445.65850439772646,140373.4568722872
208320.9212608696,307.419755233086,250.05227733359385,446.83842863415884,141031.03157781437
209347.13269565222,307.60731176653417,250.08704053903494,448.03569231546857,141639.3502923948
210373.34413043482,307.6929096056914,250.12241325207827,449.23706768800065,142294.06486866547
211399.55556521742,307.8638573711985,250.15795687956356,450.44051256507885,142908.78467049423
212425.76700000005,307.96161669184676,250.1936713916457,451.6764425530743,143556.9315142365
213451.97843478265,307.9893684092683,250.22955675834083,453.2298853399784,144237.44496239553
214478.18986956525,308.04510323133354,250.26561294952612,454.4335222721854,144904.6754101804
215504.40130434788,308.0928320242008,250.30183993494012,455.6324720566448,145575.44011311993
216530.61273913048,308.1685717131411,250.35134830289041,456.601282203238,146232.70743075095
217556.82417391308,308.2078281832323,250.40574972765404,457.86912445885724,146907.03949147824
218583.0356086957,308.2451270579445,250.46040348790754,458.9621416598286,147582.13727800697
219609.2470434783,308.3171796552816,250.51530951552078,460.1972965272759,148240.3595848544
220635.4584782609,308.52735083475187,250.557962591086,461.43605244999355,148831.62200594431
221661.66991304353,308.6668158663315,250.57207297649805,462.6774880845764,149456.3027389985
222687.88134782613,308.75894701503177,250.68167677584077,464.139760161897,150103.42280889477
223714.09278260873,308.88474624718276,250.73745492652392,465.37407572052683,150733.72874021257
224740.30421739136,308.9272713142245,250.79362125854442,466.6115090879483,151404.32574474817
225766.51565217396,309.0070569858571,250.83420357063096,467.85274047017907,152056.39640281262
226792.72708695655,309.0490035985984,250.8381210112083,469.25448383471877,152726.82971573237
227818.93852173918,309.24611377975987,250.8436058740029,470.7765235948554,153320.11453972093
228845.14995652178,309.3625617002983,251.0224130104241,471.5965205689733,153952.77408647438
229871.36139130438,309.5265214686859,251.0796196457426,472.8448540746751,154561.22987782522
230897.572826087,309.70070493786125,251.13761544188776,474.02216466171535,155163.9188172132
231923.7842608696,309.95060332080527,251.19586404026379,475.3014090269233,155727.87946128237
232949.9956956522,310.11013887277835,251.25436536826626,476.58432684171305,156336.47062552604
233976.20713043484,310.27244538186744,251.31311935299402,477.87089870712316,156943.0360108594
235002.41856521743,310.34729302008077,251.3721259212493,479.16110525973966,157593.36872000806
236028.63000000003,310.36955942301546,251.4313849995378,480.44674297477604,158270.19194212364
237054.84143478266,310.39192164727876,251.49089651406933,481.72740167051796,158946.87034334897
238081.05286956526,310.5305224474673,251.55066039075786,483.0116300772666,159563.7013208532
239107.26430434786,310.7039677041421,251.61067655522217,484.29940944639213,160162.01956173687
240133.4757391305,310.795417655698,251.66763784137413,485.5907210647318,160802.085541367
241159.6871739131,310.9012861716238,251.70045075748433,486.88554625524785,161434.27754122124
242185.8986086957,310.928195096614,251.73340183525366,488.183866377678,162107.2017237778
243212.11004347831,311.0517203225554,251.76649105235248,489.4856628291771,162729.4539038362
244238.3214782609,311.21468417877855,251.79971838636104,490.7909170449514,163330.4988924489
245264.5329130435,311.2590372989031,251.83308381476886,492.0781712299062,163993.393694679
246290.74434782614,311.334910482018,251.86658731497522,492.33405380269113,164639.4218162901
247316.95578260874,311.44196409778806,251.88664378209342,492.83447299445845,165268.59538162238
248343.16721739134,311.6086689139787,251.89036309669123,494.4339072734667,165865.57055287412
249369.37865217397,311.84885097986694,251.89409767984878,496.0364229937603,166422.6898266634
250395.59008695657,311.9321150793227,251.90091722251117,497.641994947133,167062.95053146186
251421.80152173917,311.9470775024327,251.90197963740263,499.2505980638894,167739.58909835978
252448.0129565218,312.1092973422898,251.90304639566784,500.8622074131208,168336.7010925015
